Bus_no,From,To,Link,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
35,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Seater/Sleeper,23:58:00,06:50:00,06h 52m,4,499,36
36,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Deltin Travels Pvt Ltd,AC Seater/Sleeper,22:25:00,04:40:00,06h 15m,4,600,27
37,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Vijay Tour and Travels,AC Sleeper,17:50:00,01:30:00,07h 40m,4,1170,6
38,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Armaan Tour & Travels,AC Seater/Sleeper,22:50:00,06:00:00,07h 10m,4,489,15
39,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Bhawani Travels,AC Seater/Sleeper,23:59:00,06:10:00,06h 11m,4,499,5
40,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Golden Temple Express Volvo,AC Seater/Sleeper,23:57:00,06:50:00,06h 53m,4,649,30
41,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Classic Travels,AC Seater/Sleeper,23:30:00,06:30:00,07h 00m,4,389,37
42,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Classic Travels,AC Seater/Sleeper,23:55:00,06:55:00,07h 00m,4,389,36
43,Ludhiana,Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Travel Point,AC Seater/Sleeper,23:25:00,05:20:00,05h 55m,4,904,38
44,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Zingbus Plus,AC Seater/Sleeper,23:50:00,06:40:00,06h 50m,4.8,616,27
45,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,IntrCity SmartBus,AC Seater/Sleeper,23:55:00,06:15:00,06h 20m,4.8,479,20
46,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Yolo Bus,AC Seater/Sleeper,22:27:00,04:18:00,05h 51m,4.8,500,26
47,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,AdArmaan Tour & Travels,AC Seater/Sleeper,22:50:00,06:00:00,07h 10m,4.8,529,15
48,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,IntrCity SmartBus,AC Seater/Sleeper,23:10:00,06:20:00,07h 10m,4.8,659,20
49,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,NueGo,AC Seater,23:15:00,05:05:00,05h 50m,4.8,436,22
50,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Laxmi holidays,AC Sleeper,23:55:00,06:45:00,06h 50m,4.8,550,36
51,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,New Navyug Travels,AC Sleeper,23:00:00,05:30:00,06h 30m,4.8,775,24
52,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,NueGo,AC Seater,18:00:00,23:50:00,05h 50m,4.8,354,33
53,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Golden Temple Express Volvo,AC Seater/Sleeper,23:25:00,05:20:00,05h 55m,4.8,599,24
54,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,NueGo,AC Seater,00:05:00,05:55:00,05h 50m,4.8,354,31
55,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Golden Temple Express Volvo,AC Semi Sleeper,23:58:00,06:20:00,06h 22m,4.8,699,35
56,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,IntrCity SmartBus,AC Seater/Sleeper,23:05:00,05:15:00,06h 10m,4.8,699,16
57,Ludhiana,Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,IntrCity SmartBus,AC Seater/Sleeper,23:10:00,05:50:00,06h 40m,4.8,479,21
