Bus_no,From,To,Bus_Name,Bus_Type,Bus_Dept,Bus_Arrival,Duration,Rating,Price,Seats
0,Pune,Goa,Laxmi-Princess Nova,Non AC Seater/Sleeper,20:00:00,07:15:00,11h 15m,4.2,699,24
1,Pune,Goa,IntrCity SmartBus,AC Seater/Sleeper,21:15:00,07:55:00,10h 40m,4.2,1087,11
2,Pune,Goa,Ashray Vip Yellows,AC Sleeper,20:35:00,08:00:00,11h 25m,4.2,1270,13
3,Pune,Goa,AdRajmudra tours and travels,AC Sleeper,22:25:00,09:41:00,11h 16m,4.2,1214,16
4,Pune,Goa,Ashray Travels,Non AC Seater/Sleeper,21:20:00,08:50:00,11h 30m,4.2,780,15
5,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,22:30:00,09:30:00,11h 00m,4.2,1320,12
6,Pune,Goa,Ashray Travels,AC Sleeper,21:05:00,08:30:00,11h 25m,4.2,1290,13
7,Pune,Goa,AdShreyash Travels,AC Sleeper,21:45:00,08:30:00,10h 45m,4.2,1401,6
8,Pune,Goa,Gogte Anand Travels,AC Sleeper,23:30:00,10:25:00,10h 55m,4.2,1201,14
9,Pune,Goa,Dolphin Travel House (37),AC Sleeper,19:45:00,06:00:00,10h 15m,4.2,1710,2
10,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:35:00,09:00:00,10h 25m,4.2,1638,19
11,Pune,Goa,Ashray National Express,Non AC Sleeper,20:00:00,06:45:00,10h 45m,4.2,880,6
12,Pune,Goa,Indumati Travels,AC Sleeper,22:20:00,08:30:00,10h 10m,4.2,1378,11
13,Pune,Goa,Gogte Anand Travels,AC Sleeper,21:15:00,07:55:00,10h 40m,4.2,1251,13
14,Pune,Goa,Ashray Grand,AC Sleeper,23:00:00,10:00:00,11h 00m,4.2,1500,15
15,Pune,Goa,Ashray Amrutyog,AC Sleeper,22:05:00,09:30:00,11h 25m,4.2,1250,8
16,Pune,Goa,IntrCity SmartBus,AC Sleeper,20:35:00,07:30:00,10h 55m,4.2,1369,13
17,Pune,Goa,IntrCity SmartBus,AC Sleeper,21:00:00,07:40:00,10h 40m,4.2,1398,9
18,Pune,Goa,Sangitam Travels Tanzanite,AC Sleeper,21:00:00,06:45:00,09h 45m,4.2,1305,8
19,Pune,Goa,IntrCity SmartBus,AC Sleeper,23:20:00,10:00:00,10h 40m,4.2,1967,12
20,Pune,Goa,Atmaram Gobus,AC Sleeper,22:30:00,08:45:00,10h 15m,4.2,1250,5
21,Pune,Goa,Laxmi Queen Asta,AC Sleeper,21:30:00,08:00:00,10h 30m,4.2,1600,16
22,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:10:00,08:50:00,10h 40m,4.2,1638,11
23,Pune,Goa,Gogte Travels,Non AC Sleeper,19:30:00,06:15:00,10h 45m,4.2,899,10
24,Pune,Goa,Atmaram Gobus,AC Sleeper,21:00:00,07:45:00,10h 45m,4.2,1250,8
25,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:00:00,09:35:00,11h 35m,4.2,1369,13
26,Pune,Goa,Zingbus Plus,AC Sleeper,23:45:00,10:55:00,11h 10m,4.2,1385,8
27,Pune,Goa,IntrCity SmartBus,AC Sleeper,22:30:00,09:35:00,11h 05m,4.2,1396,12
28,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,23:00:00,10:00:00,11h 00m,4.2,1420,18
29,Pune,Goa,Anand Ashray Travels,AC Sleeper,22:30:00,09:00:00,10h 30m,4.2,1599,7
30,Pune,Goa,Zingbus Plus,AC Sleeper,22:45:00,09:55:00,11h 10m,4.2,1349,10
31,Pune,Goa,KVT Narmada Benz,AC Sleeper,21:25:00,08:01:00,10h 36m,4.2,1200,21
32,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,21:45:00,08:45:00,11h 00m,4.2,1920,25
33,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,22:15:00,09:30:00,11h 15m,4.2,2020,19
34,Pune,Goa,Traveltime Travels (St.Christopher),Non AC Seater,20:00:00,07:00:00,11h 00m,4.2,700,20
35,Pune,Goa,Ashray Atmaram Divine,Non AC Sleeper,19:45:00,06:45:00,11h 00m,4.2,880,7
36,Pune,Goa,Gogte Shree Travels,AC Sleeper,20:40:00,07:25:00,10h 45m,4.2,1099,5
37,Pune,Goa,Humsafar Travels,AC Sleeper,22:50:00,09:30:00,10h 40m,4.2,1273,11
38,Pune,Goa,Traveltime Travels (Kelkar),Non AC Seater/Sleeper,21:15:00,08:45:00,11h 30m,4.2,750,17
39,Pune,Goa,Gogte Travels (Manish),Non AC Seater,19:20:00,07:30:00,12h 10m,4.2,621,15
40,Pune,Goa,Abhishek Vishal Travels,AC Sleeper,23:00:00,08:40:00,09h 40m,4.2,1499,17
41,Pune,Goa,Anand Tours And Travels,Non AC Seater/Sleeper,21:00:00,07:15:00,10h 15m,4.2,725,33
42,Pune,Goa,IntrCity SmartBus,AC Sleeper,20:55:00,07:35:00,10h 40m,4.2,1667,9
43,Pune,Goa,M R Travels,AC Seater/Sleeper,21:00:00,10:30:00,13h 30m,4.2,2000,35
44,Pune,Goa,M R Travels,AC Seater/Sleeper,19:00:00,09:10:00,14h 10m,4.2,2000,35
45,Pune,Goa,Laxmi Queen Prime,AC Sleeper,20:30:00,07:30:00,11h 00m,4.2,1600,14
46,Pune,Goa,Laxmi Empress Stellar,Non AC Sleeper,21:00:00,08:00:00,11h 00m,4.2,1299,18
47,Pune,Goa,Rajdhani Travels Corporation,AC Sleeper,23:15:00,09:35:00,10h 20m,4.2,1800,1
48,Pune,Goa,Atmaram Gobus,Non AC Sleeper,20:30:00,07:00:00,10h 30m,4.2,1100,9
49,Pune,Goa,PSR Travels Goa (Parrikar),AC Sleeper,23:45:00,09:30:00,09h 45m,4.2,1499,8
50,Pune,Goa,Gogte Shreyas,AC Sleeper,21:45:00,09:00:00,11h 15m,4.2,999,2
51,Pune,Goa,Prasanna - Purple Bus,AC Sleeper,21:30:00,08:30:00,11h 00m,4.2,1220,22
52,Pune,Goa,Dolphin Travel House (38),AC Sleeper,21:30:00,07:30:00,10h 00m,4.2,1710,17
53,Pune,Goa,Abhishek Vishal Travels,Non AC Push Back,21:25:00,07:10:00,09h 45m,4.2,800,14
54,Pune,Goa,Dolphin travel house,AC Sleeper,23:00:00,10:45:00,11h 45m,4.2,1619,28
55,Pune,Goa,KVT Narmada Benz,AC Sleeper,22:00:00,08:00:00,10h 00m,4.2,1200,21
56,Pune,Goa,VRL Travels,AC Sleeper,23:30:00,09:45:00,10h 15m,4.2,1250,8
57,Pune,Goa,Naik Travels (Syndicate),Non AC Sleeper,22:05:00,09:00:00,10h 55m,4.2,1200,10
58,Pune,Goa,Dolphin Travel House (39),AC Sleeper,22:25:00,08:30:00,10h 05m,4.2,1619,18
59,Pune,Goa,Humsafar Travels,AC Sleeper,22:15:00,09:00:00,10h 45m,4.2,1260,11
60,Pune,Goa,Hans Travels (I) Private Limited,AC Sleeper,23:59:00,12:14:00,12h 15m,4.2,1300,17
61,Pune,Goa,Gujarat Travels,AC Sleeper,23:55:00,10:40:00,10h 45m,4.2,1100,13
62,Pune,Goa,IntrCity SmartBus,AC Sleeper,21:55:00,09:30:00,11h 35m,4.2,1369,13
63,Pune,Goa,Laxmi holidays,AC Seater/Sleeper,23:00:00,10:30:00,11h 30m,4.2,752,18
64,Pune,Goa,Abhishek Vishal Travels,AC Sleeper,00:15:00,10:15:00,10h 00m,4.2,1499,16
65,Pune,Goa,Gogte Travels,Non AC Sleeper,21:30:00,08:15:00,10h 45m,4.2,899,17
66,Pune,Goa,Gogte Shree Travels,AC Sleeper,20:40:00,08:10:00,11h 30m,4.2,1099,5
67,Pune,Goa,Gogte Travels,AC Sleeper,20:15:00,07:45:00,11h 30m,4.2,1199,1
68,Pune,Goa,Traveltime Travels (St.Christopher),Non AC Seater,20:00:00,07:00:00,11h 00m,4.2,700,20
69,Pune,Goa,AAINATH TRAVELS,AC Sleeper,21:15:00,07:00:00,09h 45m,4.2,950,17
70,Pune,Goa,Kokan Holidays,Non AC Push Back,21:30:00,09:45:00,12h 15m,4.2,3000,2
71,Pune,Goa,Laxmi holidays,AC Seater/Sleeper,20:00:00,07:50:00,11h 50m,4.2,700,21
72,Pune,Goa,Shivrameshwar Bane Tours & Travels,AC Sleeper,00:20:00,10:15:00,09h 55m,4.2,5000,30
73,Pune,Goa,Shivrameshwar Bane Tours & Travels,AC Sleeper,22:20:00,08:15:00,09h 55m,4.2,5000,30
74,Pune,Goa,Global Travels Black Horse,Non AC Sleeper,21:00:00,07:30:00,10h 30m,4.2,1100,16
75,Pune,Goa,Ashray Divine Yellow,Non AC Sleeper,22:10:00,09:35:00,11h 25m,4.2,1500,29
76,Pune,Goa,Rajendra Tours And Travels,AC Sleeper,21:15:00,06:45:00,09h 30m,4.2,1805,28
77,Pune,Goa,SAI BHAKTI HOLIDAYS,AC Sleeper,21:10:00,07:45:00,10h 35m,4.2,5000,30
78,Pune,Goa,KOKAN TOURS & TRAVELS,Non AC Sleeper,21:45:00,08:00:00,10h 15m,4.2,5000,32
79,Pune,Goa,Royal Gajraj Travels,Non AC Sleeper,20:00:00,08:30:00,12h 30m,4.2,5000,31
80,Goa,Pune,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater,18:00:00,08:00:00,14h 00m,4,600,21
81,Goa,Pune,Kadamba Transport Corporation Limited (KTCL) - 89820,AC Sleeper,19:00:00,07:00:00,12h 00m,4,800,23
82,Goa,Pune,Prasanna - Purple Bus,AC Sleeper,17:00:00,05:00:00,12h 00m,4,995,18
83,Goa,Pune,Ashray Travels,AC Sleeper,22:30:00,10:00:00,11h 30m,4,940,13
84,Goa,Pune,Prasanna - Purple Bus,AC Sleeper,22:00:00,07:30:00,09h 30m,4,999,22
85,Goa,Pune,Atmaram Gobus,Non AC Sleeper,19:01:00,05:31:00,10h 30m,4,700,13
86,Goa,Pune,Sangitam Travels Tanzanite,AC Sleeper,21:00:00,07:30:00,10h 30m,4,905,10
87,Goa,Pune,IntrCity SmartBus,AC Seater/Sleeper,20:30:00,06:45:00,10h 15m,4,783,9
88,Goa,Pune,Zingbus Plus,AC Sleeper,19:40:00,05:30:00,09h 50m,4,900,21
89,Goa,Pune,Ashray Travels,Non AC Seater/Sleeper,20:00:00,06:30:00,10h 30m,4,500,29
90,Goa,Pune,Atmaram Gobus,AC Sleeper,21:32:00,07:02:00,09h 30m,4,900,5
91,Goa,Pune,IntrCity SmartBus,AC Sleeper,20:00:00,06:15:00,10h 15m,4,900,14
92,Goa,Pune,Zingbus Plus,AC Sleeper,20:50:00,07:10:00,10h 20m,4,900,16
93,Goa,Pune,IntrCity SmartBus,AC Sleeper,19:00:00,05:30:00,10h 30m,4,900,13
94,Goa,Pune,Zingbus Plus,AC Sleeper,18:10:00,04:00:00,09h 50m,4,928,23
95,Goa,Pune,Indumati Travels,AC Sleeper,21:00:00,07:00:00,10h 00m,4,903,26
96,Goa,Pune,Anand Ashray Travels,AC Sleeper,20:00:00,06:30:00,10h 30m,4,1001,19
97,Goa,Pune,Atmaram Gobus,AC Sleeper,22:30:00,07:45:00,09h 15m,4,900,7
98,Goa,Pune,Atmaram Travels ( Gogte ),AC Sleeper,19:02:00,06:00:00,10h 58m,4,900,19
99,Goa,Pune,IntrCity SmartBus,AC Sleeper,18:30:00,05:25:00,10h 55m,4,1000,12
100,Goa,Pune,Amrutyog Travels,AC Sleeper,20:00:00,07:22:00,11h 22m,4,900,25
101,Goa,Pune,IntrCity SmartBus,AC Sleeper,21:30:00,07:45:00,10h 15m,4,900,10
102,Goa,Pune,Anand Ashray Travels,AC Sleeper,22:45:00,09:55:00,11h 10m,4,1001,30
103,Goa,Pune,Atmaram Gobus,Non AC Sleeper,20:01:00,06:31:00,10h 30m,4,700,15
104,Goa,Pune,"National Travels,Goa",Non AC Sleeper,19:00:00,06:20:00,11h 20m,4,700,14
105,Goa,Pune,Laxmi Queen Asta,AC Sleeper,20:30:00,07:00:00,10h 30m,4,900,19
106,Goa,Pune,Rajdhani Travels Corporation,AC Sleeper,18:00:00,06:10:00,12h 10m,4,1000,14
107,Goa,Pune,IntrCity SmartBus,AC Sleeper,19:30:00,05:40:00,10h 10m,4,1000,10
108,Goa,Pune,IntrCity SmartBus,AC Sleeper,21:00:00,07:05:00,10h 05m,4,1000,12
109,Goa,Pune,Prasanna - Purple Bus,AC Sleeper,18:00:00,06:15:00,12h 15m,4,995,19
110,Goa,Pune,Atmaram Travels (Humsafar),AC Sleeper,19:30:00,05:00:00,09h 30m,4,900,12
111,Goa,Pune,Atmaram Travels (Shreyas),AC Sleeper,20:03:00,06:33:00,10h 30m,4,900,21
112,Goa,Pune,Ashray Grand,AC Sleeper,22:00:00,09:30:00,11h 30m,4,1000,26
113,Goa,Pune,Laxmi Empress Stellar,Non AC Sleeper,19:45:00,06:45:00,11h 00m,4,799,20
114,Goa,Pune,Prasanna - Purple Bus,AC Sleeper,22:15:00,07:45:00,09h 30m,4,999,21
115,Goa,Pune,Atmaram Travels (Dolphin),AC Sleeper,14:00:00,01:00:00,11h 00m,4,1000,14
116,Goa,Pune,Giroba Travels (Kelkar),Non AC Seater/Sleeper,17:45:00,05:30:00,11h 45m,4,500,21
117,Goa,Pune,Atmaram Travels(M.Dev),AC Sleeper,22:00:00,08:00:00,10h 00m,4,1000,18
118,Goa,Pune,Atmaram Travels ( Ashray ),AC Sleeper,22:02:00,10:10:00,12h 08m,4,900,19
119,Goa,Pune,Anand Ashray Travels,AC Sleeper,21:00:00,09:20:00,12h 20m,4,1001,29
120,Goa,Pune,Laxmi Queen Prime,AC Sleeper,19:30:00,06:30:00,11h 00m,4,900,21
121,Goa,Pune,VAILANKANNI TRAVELS,AC Sleeper,18:30:00,06:55:00,12h 25m,4,1000,26
122,Goa,Pune,Atmaram Travels (Dolphin),AC Sleeper,18:30:00,05:30:00,11h 00m,4,1000,28
123,Goa,Pune,Giroba Travels (Kelkar),Non AC Seater,18:00:00,05:30:00,11h 30m,4,500,31
124,Goa,Pune,Atmaram Travels(KVT Narmada Red),AC Sleeper,21:16:00,07:31:00,10h 15m,4,900,23
125,Goa,Pune,IntrCity SmartBus,AC Sleeper,20:45:00,07:10:00,10h 25m,4,900,13
126,Goa,Pune,M R Travels,AC Seater/Sleeper,19:50:00,06:30:00,10h 40m,4,1800,35
127,Goa,Pune,M R Travels,AC Seater/Sleeper,18:30:00,06:30:00,12h 00m,4,1800,35
128,Goa,Pune,Atmaram Travels Goa,AC Sleeper,20:30:00,06:45:00,10h 15m,4,900,26
129,Goa,Pune,IntrCity SmartBus,AC Sleeper,20:50:00,07:15:00,10h 25m,4,900,13
130,Goa,Pune,Laxmi-Princess Nova,Non AC Seater/Sleeper,19:00:00,06:30:00,11h 30m,4,599,12
131,Goa,Pune,VRL Travels,AC Sleeper,19:30:00,06:45:00,11h 15m,4,1000,18
132,Goa,Pune,Atmaram Travels (Dolphin),AC Sleeper,15:00:00,02:30:00,11h 30m,4,1000,29
133,Goa,Pune,Atmaram Travels (Unity),AC Sleeper,20:00:00,07:00:00,11h 00m,4,1000,27
134,Goa,Pune,PSR Travels Goa (Parrikar),AC Sleeper,19:15:00,06:00:00,10h 45m,4,1199,8
135,Goa,Pune,PSR Travels (Vaibhav),AC Sleeper,22:30:00,07:30:00,09h 00m,4,1050,28
136,Goa,Pune,Giroba Travels (Shree),AC Sleeper,19:00:00,06:30:00,11h 30m,4,900,21
137,Goa,Pune,Atmaram Travels (Vaibhav),AC Sleeper,22:31:00,08:31:00,10h 00m,4,1050,22
138,Goa,Pune,Prasanna - Purple Bus,AC Sleeper,21:00:00,07:00:00,10h 00m,4,905,24
139,Goa,Pune,Atmaram Travels ( Gogte ),Non AC Sleeper,21:01:00,07:31:00,10h 30m,4,700,23
140,Goa,Pune,Atmaram Travels (Dolphin),AC Sleeper,16:30:00,03:30:00,11h 00m,4,1050,16
141,Goa,Pune,Manish Sharma Travels,AC Sleeper,20:00:00,05:45:00,09h 45m,4,900,25
142,Goa,Pune,Atmaram Travels (Dolphin),AC Sleeper,19:30:00,08:40:00,13h 10m,4,1000,27
143,Goa,Pune,Manish Patil Travels,AC Sleeper,15:30:00,04:30:00,13h 00m,4,900,29
144,Goa,Pune,Laxmi holidays,AC Seater/Sleeper,19:30:00,07:30:00,12h 00m,4,750,36
145,Goa,Pune,Atmaram Travels(GTA),AC Sleeper,19:00:00,06:00:00,11h 00m,4,1000,27
146,Goa,Pune,Laxmi holidays,AC Seater/Sleeper,18:30:00,06:00:00,11h 30m,4,800,37
147,Goa,Pune,Manish Travels,Non AC Seater,16:45:00,05:35:00,12h 50m,4,500,30
148,Goa,Pune,Sai Travels - Yogeshwari,AC Seater/Sleeper,17:00:00,04:50:00,11h 50m,4,4000,33
149,Goa,Pune,Naik Tours And Travels,Non AC Sleeper,17:00:00,05:45:00,12h 45m,4,700,18
150,Goa,Pune,Gujarat Travels,AC Sleeper,12:40:00,23:50:00,11h 10m,4,1100,29
151,Goa,Pune,Manish Roshan Travels,AC Sleeper,19:00:00,06:30:00,11h 30m,4,900,28
152,Goa,Pune,Hans Travels (I) Private Limited,AC Sleeper,12:30:00,23:15:00,10h 45m,4,1200,10
153,Goa,Pune,Atmaram Travels (Vishal),Non AC Seater,18:10:00,06:05:00,11h 55m,4,600,27
154,Goa,Pune,Atmaram Travels (Dolphin),AC Sleeper,15:30:00,02:30:00,11h 00m,4,1000,28
155,Goa,Pune,Jolly Tours and Travels,AC Sleeper,18:30:00,05:45:00,11h 15m,4,1199,30
156,Goa,Pune,AAINATH TRAVELS,AC Seater/Sleeper,21:30:00,06:30:00,09h 00m,4,699,27
157,Goa,Pune,Jolly Tours and Travels,AC Sleeper,17:30:00,04:45:00,11h 15m,4,1099,16
158,Goa,Pune,IntrCity SmartBus,AC Sleeper,19:05:00,05:35:00,10h 30m,4,900,11
159,Goa,Pune,Amrutyog Travels,Non AC Sleeper,20:30:00,08:00:00,11h 30m,4,5000,36
160,Goa,Pune,Amrutyog Travels,Non AC Sleeper,19:00:00,08:00:00,13h 00m,4,5000,36
161,Goa,Pune,Atmaram Travels ( Gogte ),Non AC Sleeper,22:01:00,08:46:00,34h 45m,4,700,26
162,Goa,Pune,Jolly Tours and Travels,AC Seater,18:30:00,05:45:00,11h 15m,4,1799,9
163,Goa,Pune,Giroba Travels (Rajmudra),AC Sleeper,20:45:00,08:00:00,11h 15m,4,899,23
164,Goa,Pune,Giroba Travels (Anand),Non AC Seater/Sleeper,19:00:00,06:30:00,11h 30m,4,500,27
165,Goa,Pune,Ashray Travels,Non AC Sleeper,19:00:00,06:45:00,59h 45m,4,2000,30
166,Goa,Pune,Kokan Holidays - Muskan,Non AC Sleeper,16:00:00,04:43:00,12h 43m,4,800,32
167,Goa,Pune,Kokan Holidays,Non AC Sleeper,18:02:00,06:00:00,11h 58m,4,3000,32
168,Mumbai,Goa,Kadamba Transport Corporation Limited (KTCL) - 97386,AC Seater,17:05:00,06:00:00,12h 55m,3.8,1200,2
169,Mumbai,Goa,IntrCity SmartBus,AC Sleeper,17:15:00,08:50:00,15h 35m,3.8,1638,11
170,Mumbai,Goa,Zingbus Plus,AC Sleeper,17:00:00,09:55:00,16h 55m,3.8,1490,10
171,Mumbai,Goa,Dolphin travel house,AC Sleeper,21:30:00,13:15:00,15h 45m,3.8,1819,28
172,Mumbai,Goa,Global Travel Agency (GTA),AC Sleeper,17:50:00,12:00:00,18h 10m,3.8,1499,23
173,Mumbai,Goa,IntrCity SmartBus,AC Sleeper,16:30:00,09:00:00,16h 30m,3.8,1638,19
174,Mumbai,Goa,Zingbus Plus,AC Sleeper,18:00:00,10:55:00,16h 55m,3.8,1583,8
175,Mumbai,Goa,Dolphin Travel House (38),AC Sleeper,14:30:00,07:30:00,17h 00m,3.8,1710,15
176,Mumbai,Goa,IntrCity SmartBus,AC Sleeper,19:30:00,10:00:00,14h 30m,3.8,1967,11
177,Mumbai,Goa,Zingbus Plus,AC Sleeper,20:00:00,11:55:00,15h 55m,3.8,1583,7
178,Mumbai,Goa,Atmaram Manish Travels,Non AC Seater,15:00:00,07:15:00,16h 15m,3.8,700,4
179,Mumbai,Goa,Shubhra Sharma Tourist Services,AC Sleeper,16:46:00,10:31:00,17h 45m,3.8,1500,16
180,Mumbai,Goa,Rajdhani Travels Corporation,AC Sleeper,19:55:00,09:35:00,13h 40m,3.8,1800,1
181,Mumbai,Goa,Dolphin Travel House (37),AC Sleeper,13:00:00,06:00:00,17h 00m,3.8,1710,2
182,Mumbai,Goa,Atmaram Manish Travels,AC Sleeper,16:50:00,09:15:00,16h 25m,3.8,1300,4
183,Mumbai,Goa,Rajdhani Travels Corporation,AC Sleeper,20:50:00,10:05:00,13h 15m,3.8,1800,2
184,Mumbai,Goa,Mascot Travels(M.Dev),AC Sleeper,17:30:00,10:45:00,17h 15m,3.8,1400,23
185,Mumbai,Goa,Laxmi holidays,AC Seater/Sleeper,19:00:00,10:30:00,15h 30m,3.8,800,18
186,Mumbai,Goa,Dolphin travel house,AC Sleeper,17:45:00,10:45:00,17h 00m,3.8,1619,28
187,Mumbai,Goa,Mascot Travels(M.Dev),AC Sleeper,19:00:00,12:00:00,17h 00m,3.8,1700,20
188,Mumbai,Goa,Abhishek Vishal Travels,AC Sleeper,16:00:00,08:40:00,16h 40m,3.8,1499,17
189,Mumbai,Goa,Konkan Travels National,Non AC Sleeper,19:25:00,09:45:00,14h 20m,3.8,1299,11
190,Mumbai,Goa,Abhishek Vishal Travels,AC Sleeper,17:20:00,10:15:00,16h 55m,3.8,1499,16
191,Mumbai,Goa,Konkan Travels National,AC Sleeper,18:00:00,10:55:00,16h 55m,3.8,1499,8
192,Mumbai,Goa,Shubham Vailankanni Travels,AC Sleeper,21:00:00,12:35:00,15h 35m,3.8,1700,21
193,Mumbai,Goa,VRL Travels,AC Sleeper,19:00:00,09:45:00,14h 45m,3.8,1250,7
194,Mumbai,Goa,Dolphin travel house,AC Sleeper,19:00:00,11:45:00,16h 45m,3.8,1619,15
195,Mumbai,Goa,Dolphin Travel House (40),AC Sleeper,20:00:00,13:15:00,17h 15m,3.8,1719,25
196,Mumbai,Goa,Dolphin Travel House (39),AC Sleeper,15:45:00,08:30:00,16h 45m,3.8,1619,18
197,Mumbai,Goa,Naik Travels (Syndicate),Non AC Sleeper,19:30:00,09:00:00,13h 30m,3.8,1200,7
